strategy,window,cumulative_return,max_drawdown,Sharpe,time_in_stress,time_in_credit_stress,time_in_vix_stress,time_in_cmdty_stress,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
SPY_CASH_CMDTY_ONLY,FULL_SAMPLE,11.105156594302434,-0.33717277905477994,0.8269401421723775,534,0,0,534,0.8947575877020102,0.0,0.0,0.10524241229798975,0.0
REGIME_NORMAL_CASH_STRESS,2008_GFC,0.3548037104839945,-0.09638292965599238,1.2724510619269866,251,104,35,145,0.18999930103891297,0.04977957250676508,0.0,0.5691609977324263,0.19106012872189568
REGIME_NORMAL_CASH_STRESS,2015_2016,0.020108644140771847,-0.0635777958270135,0.262576830786775,125,0,17,123,0.3821753092975958,0.0,0.0,0.5411255411255411,0.07669914957686302
REGIME_NORMAL_CASH_STRESS,2018Q4,0.012172864262701921,-0.05026735665335136,0.43663441224548094,51,30,27,0,0.07662047114000317,0.14836885505620806,0.0,0.6071428571428571,0.16786781666093165
REGIME_NORMAL_CASH_STRESS,COVID_2020,0.21762991072185423,-0.059717044081001425,3.3553147633407225,42,27,29,0,0.3126256810181441,0.0,0.0,0.40384615384615385,0.2835281651357021
REGIME_NORMAL_CASH_STRESS,2022_RATE_WAR,0.0383838010360702,-0.1501513203054855,0.19470391542299867,91,75,12,0,0.3854058483811581,0.28397571660840376,0.0,0.2556179775280899,0.07500045748234827
REGIME_NORMAL_CASH_STRESS,2025_PULLBACK,0.5237906693955108,-0.08797658983502676,2.3204709490524706,49,0,45,0,0.0,0.3878127027644576,0.0,0.14327485380116958,0.4689124434343727
REGIME_NORMAL_CASH_STRESS,FULL_SAMPLE,23.173863697739588,-0.18783440940318197,1.3800720789007361,1029,273,296,526,0.5038892914757275,0.13060726462048916,0.0,0.2027985810011825,0.1627048629026009
FINAL_WITH_CASH_STRESS_ONLY,2008_GFC,0.3548037104839945,-0.09638292965599238,1.2724510619269866,251,104,35,145,0.18999930103891297,0.04977957250676508,0.0,0.5691609977324263,0.19106012872189568
FINAL_WITH_CASH_STRESS_ONLY,2015_2016,0.020108644140771847,-0.0635777958270135,0.262576830786775,125,0,17,123,0.3821753092975958,0.0,0.0,0.5411255411255411,0.07669914957686302
FINAL_WITH_CASH_STRESS_ONLY,2018Q4,0.012172864262701921,-0.05026735665335136,0.43663441224548094,51,30,27,0,0.07662047114000317,0.14836885505620806,0.0,0.6071428571428571,0.16786781666093165
FINAL_WITH_CASH_STRESS_ONLY,COVID_2020,0.21762991072185423,-0.059717044081001425,3.3553147633407225,42,27,29,0,0.3126256810181441,0.0,0.0,0.40384615384615385,0.2835281651357021
FINAL_WITH_CASH_STRESS_ONLY,2022_RATE_WAR,0.0383838010360702,-0.1501513203054855,0.19470391542299867,91,75,12,0,0.3854058483811581,0.28397571660840376,0.0,0.2556179775280899,0.07500045748234827
FINAL_WITH_CASH_STRESS_ONLY,2025_PULLBACK,0.5237906693955108,-0.08797658983502676,2.3204709490524706,49,0,45,0,0.0,0.3878127027644576,0.0,0.14327485380116958,0.4689124434343727
FINAL_WITH_CASH_STRESS_ONLY,FULL_SAMPLE,23.173863697739588,-0.18783440940318197,1.3800720789007361,1029,273,296,526,0.5038892914757275,0.13060726462048916,0.0,0.2027985810011825,0.1627048629026009
SPY_NORMAL_REGIME_HEDGE_STRESS,2008_GFC,0.24810482865292838,-0.18283724060814077,0.7380844281988069,251,104,35,145,0.4308390022675737,0.14353741496598638,0.41655328798185937,0.009070294784580499,0.0
SPY_NORMAL_REGIME_HEDGE_STRESS,2015_2016,0.19715212943902882,-0.04009484648768902,2.311073100394525,125,0,17,123,0.4588744588744589,0.16233766233766234,0.3787878787878788,0.0,0.0
SPY_NORMAL_REGIME_HEDGE_STRESS,2018Q4,0.01237918512035363,-0.10686374755119088,0.3228409643987947,51,30,27,0,0.39285714285714285,0.2976190476190476,0.2785714285714286,0.030952380952380953,0.0
SPY_NORMAL_REGIME_HEDGE_STRESS,COVID_2020,0.14561363704001162,-0.15810850729346837,1.4429259998358432,42,27,29,0,0.5961538461538461,0.40384615384615385,0.0,0.0,0.0
SPY_NORMAL_REGIME_HEDGE_STRESS,2022_RATE_WAR,-0.137058827059088,-0.2713257013430176,-0.4863187676246499,91,75,12,0,0.7616092094207145,0.16872786923097077,0.06544943820224719,0.004213483146067416,0.0
