credit_variant,episode_id,entry_date,unlock_date,duration_days,entry_SPY_DD,entry_CREDIT_SPREAD,entry_D_CREDIT_15D,entry_D_CREDIT_Z,entry_CREDIT_LEVEL_Z,unlock_D_CREDIT_15D,unlock_CREDIT_LEVEL_Z,unlock_SPY_vs_MA20,unlock_SPY_vs_MA50,SPY_return_during_lock,SPY_maxDD_during_lock,CASH_return_during_lock,next_21d_SPY_return_after_unlock,next_21d_SPY_maxDD_after_unlock,next_63d_SPY_return_after_unlock,next_63d_SPY_maxDD_after_unlock,false_recovery_flag,missed_rebound_flag,relock_within_21d,relock_within_63d
DZ_ONLY_15D_1P5,6,2020-04-08,2020-04-21,8,-0.1853124632037285,1.8900000000000001,0.7800000000000002,4.608370976052286,5.299654383612866,0.009999999999999343,3.0113646079685985,0.02841268886273718,-0.03383171451885547,0.06208316593449403,-0.02124783405605546,5.7484569755850146e-05,0.08749665174323962,-0.039596086224793936,0.1955766169298805,-0.0698950637250666,False,False,False,False
DZ_ONLY_15D_1P5,7,2022-02-15,2022-04-11,38,-0.0661698240827547,0.6800000000000002,0.040000000000000036,2.0388825493149927,0.11148808224893161,-0.03000000000000025,2.812649498667987,-0.017557113771302868,-0.0017533385312519245,0.022642297199154227,-0.06795817824531591,0.0006882535471193219,-0.10722392161525762,-0.11749510619128278,-0.13514629401257217,-0.17614160547941304,True,False,False,True
DZ_ONLY_15D_1P5,8,2022-05-23,2022-08-08,52,-0.1665380440715457,1.0100000000000007,0.09000000000000075,1.6677175387549001,2.983699371168744,-0.04999999999999982,1.8227208232767271,0.037006755527130286,0.05067206703003846,0.06577015742809778,-0.12156500198574904,0.0037304477694695137,-0.03682903116248748,-0.09062131183276678,-0.08497544223264009,-0.16680303676492425,True,True,False,False
DZ_ONLY_15D_1P5,9,2025-03-17,2025-03-25,6,-0.0746904654603005,0.6400000000000006,0.040000000000000924,1.9862492880202962,-0.7705955140267547,0.05000000000000071,-0.7318561503080323,0.009503010524428479,-0.021394928026689075,0.023092937805835767,-0.010808446655089288,0.0009789063493104155,-0.049994850603122365,-0.12682242301657587,0.05813561794908195,-0.12682242301657587,True,False,True,True
DZ_ONLY_15D_1P5,10,2025-03-26,2025-04-25,21,-0.0695504731805428,0.6400000000000006,0.05000000000000071,2.2040406748361487,-0.725482348710692,0.09999999999999964,1.7017543485847704,0.029888223299008088,-0.018845262817579034,-0.049994850603122365,-0.12682242301657587,0.0034416384613613626,0.07356887283705582,-0.02646041269613264,0.16014618858273533,-0.02646041269613264,True,True,True,True
DZ_ONLY_15D_1P5,11,2025-04-28,2025-05-19,15,-0.0985804836274187,0.7599999999999998,0.07999999999999918,2.5571984623298,1.6937432781653847,-0.019999999999999574,1.2020295271126182,0.053323021028201856,0.07325737881183536,0.07910778683589714,-0.014044795118028919,0.0024725346808622817,0.004354182069674861,-0.023176206018680423,0.07876186593748136,-0.024140684870573637,False,False,False,False
DZ_ONLY_15D_2P0,1,2007-11-26,2008-04-21,100,-0.0992462694414464,0.9899999999999993,0.13999999999999968,2.3987094336911143,1.8818242996091878,0.010000000000000675,1.9474932473808222,0.02339295230673888,0.034336876466136035,-0.029319906084370073,-0.15387059523373026,0.008598960956706758,0.02410704385948481,-0.022175431537789336,-0.08566954014278871,-0.1499815171238229,True,True,False,False
DZ_ONLY_15D_2P0,2,2018-03-20,2018-04-30,28,-0.0507525410358691,0.7799999999999998,0.10999999999999988,3.780752081116747,3.764530840996336,-0.009999999999999787,2.4654783525656225,-0.0027241778651458937,-0.012629027910790014,-0.014529293025239975,-0.04975111981267488,0.0019240038477161825,0.030622475147395134,-0.01591262363618906,0.06312461174944572,-0.02997488926998826,False,False,False,False
DZ_ONLY_15D_2P0,3,2018-11-26,2019-01-08,28,-0.0847094212830459,1.0300000000000002,0.11000000000000032,2.527586038292096,2.2117751415168825,0.019999999999999574,2.318673500838969,0.018980644035736738,-0.022163211046602793,-0.028051172656882617,-0.15607447747426728,0.002599003859152793,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,False,True,False,False
DZ_ONLY_15D_2P0,4,2020-03-16,2020-04-07,16,-0.2910978512112505,1.1099999999999999,0.2999999999999998,5.27183052391418,2.3462869416175183,0.7800000000000002,5.641338517624506,0.059142569155753666,-0.08940713325837601,-0.010777125517919761,-0.112891625859458,4.639419069651929e-05,0.08505263445233702,-0.047446260657181494,0.19779521250903076,-0.06989506372506638,True,True,True,True
DZ_ONLY_15D_2P0,5,2020-04-08,2020-04-21,8,-0.1853124632037285,1.8900000000000001,0.7800000000000002,4.608370976052286,5.299654383612866,0.009999999999999343,3.0113646079685985,0.02841268886273718,-0.03383171451885547,0.06208316593449403,-0.02124783405605546,5.7484569755850146e-05,0.08749665174323962,-0.039596086224793936,0.1955766169298805,-0.0698950637250666,False,False,False,False
DZ_ONLY_15D_2P0,6,2022-02-15,2022-04-11,38,-0.0661698240827547,0.6800000000000002,0.040000000000000036,2.0388825493149927,0.11148808224893161,-0.03000000000000025,2.812649498667987,-0.017557113771302868,-0.0017533385312519245,0.022642297199154227,-0.06795817824531591,0.0006882535471193219,-0.10722392161525762,-0.11749510619128278,-0.13514629401257217,-0.17614160547941304,True,False,False,True
DZ_ONLY_15D_2P0,7,2022-05-31,2022-08-08,47,-0.1329200074004267,1.04,0.14000000000000057,2.639410279556082,2.965164835007683,-0.04999999999999982,1.8227208232767271,0.037006755527130286,0.05067206703003846,-9.47486493019234e-06,-0.12156500198574871,0.003520872796247687,-0.03682903116248748,-0.09062131183276678,-0.08497544223264009,-0.16680303676492425,True,True,False,False
DZ_ONLY_15D_2P0,8,2025-03-24,2025-03-25,1,-0.0605665235461835,0.6400000000000006,0.05000000000000071,2.2632433805105054,-0.7382521795010898,0.05000000000000071,-0.7318561503080323,0.009503010524428479,-0.021394928026689075,0.01790844377492129,0.0,0.00016289409689806966,-0.049994850603122365,-0.12682242301657587,0.05813561794908195,-0.12682242301657587,True,False,True,True
DZ_ONLY_15D_2P0,9,2025-03-26,2025-04-25,21,-0.0695504731805428,0.6400000000000006,0.05000000000000071,2.2040406748361487,-0.725482348710692,0.09999999999999964,1.7017543485847704,0.029888223299008088,-0.018845262817579034,-0.049994850603122365,-0.12682242301657587,0.0034416384613613626,0.07356887283705582,-0.02646041269613264,0.16014618858273533,-0.02646041269613264,True,True,True,True
DZ_ONLY_15D_2P0,10,2025-04-28,2025-05-19,15,-0.0985804836274187,0.7599999999999998,0.07999999999999918,2.5571984623298,1.6937432781653847,-0.019999999999999574,1.2020295271126182,0.053323021028201856,0.07325737881183536,0.07910778683589714,-0.014044795118028919,0.0024725346808622817,0.004354182069674861,-0.023176206018680423,0.07876186593748136,-0.024140684870573637,False,False,False,False
LEVEL_Z_ENTRY,1,2007-11-26,2008-11-04,238,-0.0992462694414464,0.9899999999999993,0.13999999999999968,2.3987094336911143,1.8818242996091878,0.9400000000000004,4.065059467964777,0.06797013724680112,-0.08498702098431643,-0.31193971002465537,-0.4362772091003708,0.016466139465571406,-0.1504831706494184,-0.21561521545836726,-0.15091613202457088,-0.21561521545836726,True,True,False,False
LEVEL_Z_ENTRY,2,2018-03-20,2018-11-08,163,-0.0507525410358691,0.7799999999999998,0.10999999999999988,3.780752081116747,3.764530840996336,0.009999999999999787,1.1797080221442986,0.025428962507538344,-0.006906580160355169,0.048281131433858926,-0.09716441761529893,0.012773260921465246,-0.05835989781084905,-0.05631946191038828,-0.017109654697988752,-0.1560744774742674,True,True,True,True
LEVEL_Z_ENTRY,3,2018-11-13,2019-01-08,36,-0.0691068030837174,0.9700000000000006,0.040000000000000036,0.727457795630041,1.692862986390906,0.019999999999999574,2.318673500838969,0.018980644035736738,-0.022163211046602793,-0.06128522165424766,-0.15607447747426717,0.003334703125495775,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,True,True,True,True
LEVEL_Z_ENTRY,4,2019-01-09,2019-04-15,66,-0.1121631809805575,1.1399999999999997,0.019999999999999574,-0.10673351908450268,2.2878598475427063,-0.03000000000000025,0.43678932193482345,0.017861748838087443,0.03762428884289837,0.1350161712974829,-0.02125363921893575,0.006199210674068256,-0.016933006335886236,-0.04479180168549557,0.03885929732311544,-0.06618391134353974,False,True,False,False
LEVEL_Z_ENTRY,5,2020-03-16,2020-04-07,16,-0.2910978512112505,1.1099999999999999,0.2999999999999998,5.27183052391418,2.3462869416175183,0.7800000000000002,5.641338517624506,0.059142569155753666,-0.08940713325837601,-0.010777125517919761,-0.112891625859458,4.639419069651929e-05,0.08505263445233702,-0.047446260657181494,0.19779521250903076,-0.06989506372506638,True,True,True,True
LEVEL_Z_ENTRY,6,2020-04-08,2020-06-16,47,-0.1853124632037285,1.8900000000000001,0.7800000000000002,4.608370976052286,5.299654383612866,-0.2900000000000005,0.43926821996044185,0.020502235256319556,0.07069458582624,0.15811121643907633,-0.06989506372506638,0.0002645183482301583,0.029530108932037225,-0.03845547641947078,0.09172731146559943,-0.06846538114984979,False,True,False,False
LEVEL_Z_ENTRY,7,2022-02-22,2023-01-25,232,-0.1007724398573115,0.7399999999999998,0.09999999999999964,4.268297850288805,2.524203087598818,-0.0699999999999994,0.4893805179578669,0.026492357586696658,0.0209572674199201,-0.06341673615721777,-0.2209482591947478,0.02258660725002737,-0.009916131097093661,-0.04894651737778444,0.013871149216675205,-0.07538734629312316,False,True,False,False
LEVEL_Z_ENTRY,8,2025-04-28,2025-06-16,34,-0.0985804836274187,0.7599999999999998,0.07999999999999918,2.5571984623298,1.6937432781653847,-0.04999999999999982,0.18171705312276668,0.014992958369820952,0.06362585357978445,0.08419297269626203,-0.02646041269613264,0.00562490804660154,0.045159400913526326,-0.00799565171043104,0.09834603120524776,-0.024140684870573748,False,True,False,False
ABS_ENTRY_LEVEL_Z_UNLOCK,1,2007-11-26,2008-11-04,238,-0.0992462694414464,0.9899999999999993,0.13999999999999968,2.3987094336911143,1.8818242996091878,0.9400000000000004,4.065059467964777,0.06797013724680112,-0.08498702098431643,-0.31193971002465537,-0.4362772091003708,0.016466139465571406,-0.1504831706494184,-0.21561521545836726,-0.15091613202457088,-0.21561521545836726,True,True,False,False
ABS_ENTRY_LEVEL_Z_UNLOCK,2,2018-03-20,2018-11-08,163,-0.0507525410358691,0.7799999999999998,0.10999999999999988,3.780752081116747,3.764530840996336,0.009999999999999787,1.1797080221442986,0.025428962507538344,-0.006906580160355169,0.048281131433858926,-0.09716441761529893,0.012773260921465246,-0.05835989781084905,-0.05631946191038828,-0.017109654697988752,-0.1560744774742674,True,True,True,True
ABS_ENTRY_LEVEL_Z_UNLOCK,3,2018-11-27,2019-01-08,27,-0.0816298377479007,1.0300000000000002,0.11000000000000032,2.487153282082807,2.185004418733136,0.019999999999999574,2.318673500838969,0.018980644035736738,-0.022163211046602793,-0.04349359184932744,-0.15607447747426728,0.0025058161554201153,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,True,True,True,True
ABS_ENTRY_LEVEL_Z_UNLOCK,4,2019-01-28,2019-03-12,30,-0.0922363227729098,1.2300000000000004,0.09000000000000075,1.4492042114996562,2.611433069425166,-0.1200000000000001,0.9030353696285031,0.006454819309696935,0.041870116257711754,0.04763363016122346,-0.021253639218935638,0.0028153358753815194,0.03602944815361053,-0.019983887818669666,0.03822144771436009,-0.06618391134354007,False,False,False,False
