date,spy_price,SPY_return,CASH_return,macro_regime_confirmed,final_regime_confirmed,VIX_LEVEL,VIX_ZSCORE_120D,CMDTY_RET60,WBAA,WAAA,CREDIT_SPREAD,D_CREDIT_15D,D_CREDIT_20D,D_CREDIT_60D,CREDIT_LEVEL_Z_252D,CREDIT_LEVEL_Z_504D,D_CREDIT_15D_Z_252D,D_CREDIT_20D_Z_252D,D_CREDIT_60D_Z_252D,CREDIT_PERCENTILE_252D,CREDIT_PERCENTILE_504D,CREDIT_SPREAD_MA20,CREDIT_SPREAD_MA60,CREDIT_ABOVE_MA20,CREDIT_ABOVE_MA60,SPY_MA20,SPY_MA50,SPY_MA100,SPY_DD
2014-05-09,153.34800720214844,0.0014923008239293,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,12.92,-0.8769949710933174,0.0196540880503157,4.79,4.17,0.6200000000000001,-0.05999999999999961,-0.08999999999999986,-0.019999999999999574,-1.584564363124768,-1.380710646997624,-0.7874062614181515,-1.0573178179398692,0.39279078699572,0.023809523809523808,0.011904761904761904,0.6519999999999998,0.6691666666666666,False,False,152.3901168823242,152.06197204589844,149.88319869995118,-0.0048704812614157
2014-05-12,154.84095764160156,0.0097357016024672,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,12.23,-1.2981628631520548,0.0164190774042234,4.79,4.17,0.6200000000000001,-0.05999999999999961,-0.05999999999999961,-0.019999999999999574,-1.569289079376773,-1.374732007408358,-0.7838794844420989,-0.6293257904508138,0.38861213943075135,0.025793650793650792,0.012896825396825396,0.6489999999999998,0.6688333333333332,False,False,152.7278839111328,152.13243865966797,149.9837203979492,0.0
2014-05-13,154.9796600341797,0.0008957732804726,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,12.13,-1.34712430519971,0.0182044686242566,4.79,4.17,0.6200000000000001,-0.05999999999999961,-0.05999999999999961,-0.009999999999999787,-1.5542841861164822,-1.3687956766803482,-0.7803674554337774,-0.6271951891813743,0.49706182168021656,0.027777777777777776,0.013888888888888888,0.6459999999999998,0.6686666666666666,False,False,153.01424865722657,152.2269610595703,150.09023376464845,0.0
2014-05-14,154.24537658691406,-0.0047379343012088,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,12.17,-1.308986637973223,0.0084517864003088,4.79,4.17,0.6200000000000001,-0.05999999999999961,-0.05999999999999961,-0.009999999999999787,-1.539540550190704,-1.3629010484380406,-0.7768700142098547,-0.6250696799428893,0.49272926293730457,0.02976190476190476,0.01488095238095238,0.6429999999999999,0.6684999999999999,False,False,153.2125015258789,152.26455993652343,150.1647636413574,-0.0047379343012088
2014-05-15,152.8910675048828,-0.0087802248080228,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,13.17,-0.7042977238425647,-0.0004285069577261,4.79,4.17,0.6200000000000001,-0.05999999999999961,-0.05999999999999961,-0.009999999999999787,-1.5250494563373242,-1.357074903045808,-0.7733870027073085,-0.6229492263216264,0.48840387972222543,0.031746031746031744,0.015873015873015872,0.6399999999999999,0.6683333333333331,False,False,153.2643081665039,152.2723110961914,150.2274476623535,-0.0134765589809414
2014-05-16,153.42137145996094,0.0034685084206189,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,12.44,-1.1416958946036952,-0.0013767103847976,4.77,4.15,0.6199999999999992,-0.02000000000000135,-0.0600000000000005,-0.010000000000000675,-1.5108025826508984,-1.3512891433642458,-0.12374192043319218,-0.6208337921992946,0.4840854250138488,0.013888888888888888,0.006944444444444444,0.6369999999999998,0.6681666666666666,False,False,153.33202438354493,152.2836819458008,150.28690551757813,-0.0100547941186287
2014-05-19,153.98431396484375,0.0036692574152208,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,12.42,-1.155660082593381,0.005382545174934,4.77,4.15,0.6199999999999992,-0.02000000000000135,-0.0600000000000005,-0.03000000000000025,-1.4968856261071992,-1.345543203477357,-0.12245917255753938,-0.6187233417495934,0.25376644879345095,0.015873015873015872,0.007936507936507936,0.6339999999999998,0.6676666666666666,False,False,153.40137176513673,152.30501220703124,150.34411392211913,-0.0064224303312862
2014-05-20,153.01341247558594,-0.0063051973558779,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,12.96,-0.8318333757833608,0.0008425703454151,4.77,4.15,0.6199999999999992,-0.02000000000000135,-0.0600000000000005,-0.03000000000000025,-1.4831951392797784,-1.3398365282382778,-0.12117649662932559,-0.6166178394349323,0.25034936037390537,0.017857142857142856,0.008928571428571428,0.6309999999999998,0.6671666666666666,False,False,153.38750305175782,152.30854919433594,150.38836441040038,-0.0126871329964209
2014-05-21,154.30242919921875,0.008424207412788,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.91,-1.452474669915895,0.0127040340157744,4.77,4.15,0.6199999999999992,-0.02000000000000135,-0.0600000000000005,-0.03000000000000025,-1.4697239644108597,-1.3341685730065067,-0.1198938862610152,-0.6145172500030706,0.2469306374949215,0.01984126984126984,0.00992063492063492,0.6279999999999998,0.6666666666666664,False,False,153.45603256225587,152.3529751586914,150.43795043945312,-0.0043698046234684
2014-05-22,154.67776489257812,0.0024324678186029,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,12.03,-1.3686265096242078,0.0106923264723572,4.77,4.15,0.6199999999999992,-0.02000000000000135,-0.0600000000000005,-0.03000000000000025,-1.456465248825813,-1.3287379021490706,-0.11861133506401483,-0.6124215384838638,0.24351014451945235,0.021825396825396824,0.010912698412698412,0.6249999999999998,0.6661666666666666,False,False,153.52782745361327,152.4040954589844,150.49137161254882,-0.0019479662139856
