strategy_id,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
CW15_ABS05_ZW126_UZ1P5,COVID_2020,0.16574678774842466,-0.15383533620823908,1.4843639249045264,31,3,2,2,1,0.5190450070381222,1.0,,,0.48095499296187777
CW15_ABS05_ZW126_UZ1P5,2022_RATE_WAR,0.0036056549547354155,-0.21176823605953754,0.017641576209344,105,2,2,2,1,0.4897528311024744,0.7189869081842977,0.76,0.10000000000000002,0.3692801170501986
CW15_ABS05_ZW126_UZ1P5,2025_PULLBACK,0.5461583132773342,-0.08797658983502699,2.4563418558705097,36,4,4,2,1,,0.4509526172011456,0.9,0.1,0.5490473827988542
CW15_ABS05_ZW252_UZ0P5,2008_GFC,0.6520176774148769,-0.10238566543315253,1.9869897834244183,248,1,1,1,1,0.5337118878049483,0.3233867634898179,0.7302670623145401,0.09999999999999999,0.4586005076059721
CW15_ABS05_ZW252_UZ0P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW252_UZ0P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW252_UZ0P5,2018Q4,0.0830366529316795,-0.043022277196462455,3.277032391880694,74,2,2,1,2,0.49508612121232815,0.9511293976854244,0.9000000000000001,0.09999999999999999,0.4336957161182547
CW15_ABS05_ZW252_UZ0P5,COVID_2020,0.030182479693404485,-0.15383533620823908,0.29757960572067177,67,3,2,2,2,0.5499700780475236,1.0,,,0.4500299219524762
CW15_ABS05_ZW252_UZ0P5,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,231,1,1,0,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS05_ZW252_UZ0P5,2025_PULLBACK,0.5109320735110343,-0.08797658983502687,2.3339237550958996,52,4,4,2,2,,0.4494518185042838,0.9,0.10000000000000002,0.5505481814957162
CW15_ABS05_ZW252_UZ1P0,2008_GFC,0.6520176774148769,-0.10238566543315253,1.9869897834244183,248,1,1,1,1,0.5337118878049483,0.3233867634898179,0.7302670623145401,0.09999999999999999,0.4586005076059721
CW15_ABS05_ZW252_UZ1P0,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW252_UZ1P0,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW252_UZ1P0,2018Q4,0.09533271870402582,-0.04569042248481847,3.704550780779263,50,3,2,2,2,0.49508612121232815,0.8999945323820354,0.9000000000000001,0.09999999999999999,0.3946877551265817
CW15_ABS05_ZW252_UZ1P0,COVID_2020,0.10112286366197765,-0.15383533620823908,1.054343965817744,58,3,2,2,2,0.5411237107159279,1.0,,,0.458876289284072
CW15_ABS05_ZW252_UZ1P0,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,225,1,1,0,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS05_ZW252_UZ1P0,2025_PULLBACK,0.5461583132773342,-0.08797658983502699,2.4563418558705097,36,4,4,2,1,,0.4509526172011456,0.9,0.1,0.5490473827988542
