strategy_id,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final_Equity,annualized_vol,turnover,transaction_cost_drag,time_in_credit_lock,number_credit_entries,number_credit_unlocks,avg_credit_lock_duration,false_recovery_count,missed_rebound_count,relock_within_21d_count,relock_within_63d_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT,rank_sharpe,rank_calmar,rank_maxdd,rank_final_equity,rank_false_recovery,rank_missed_rebound,composite_score,rank_composite,materially_better
CW15_ABS15_ZW252_UZ1P0,15,0.15,252,1.0,0.19993397447060146,1.5009191651937461,2.019773191611688,-0.1690512254088531,1.1826827873448296,39.24885204766406,0.13320768973244004,16.078465018857738,0.00803923250942887,536,5,5,107.2,3,5,1,1,0.7192477525128713,0.46490956040225057,0.7335183129855717,0.1,0.4325033151114397,11.0,10.0,5.0,12.0,1.0,11.0,0.11890243902439024,4.0,False
CW15_ABS15_ZW252_UZ1P5,15,0.15,252,1.5,0.20196585329848782,1.505765939490287,2.031981565562152,-0.1690512254088542,1.1947020958294081,40.60894397401437,0.13412831835395,16.22094984735532,0.00811047492367766,284,5,5,56.8,3,4,1,1,0.7154618818798166,0.4669908507359069,0.7365175332527207,0.1,0.4326111851096993,9.0,7.0,33.0,8.0,1.0,1.0,0.17987804878048785,8.0,False
CW15_ABS15_ZW504_UZ0P5,15,0.15,504,0.5,0.1954980852914494,1.459754466397074,1.967112418239293,-0.20825352576376766,0.9387504224692581,36.42844578522245,0.1339253208616463,16.37939296187256,0.00818969648093628,623,6,6,103.83333333333333,4,6,1,2,0.7186891144595048,0.45865521884627863,0.7306997742663658,0.1,0.42970845056865314,34.0,73.0,70.0,29.0,12.0,28.0,0.4844512195121951,36.0,False
CW15_ABS15_ZW504_UZ1P0,15,0.15,504,1.0,0.19469651692329748,1.44902069001661,1.9385805176746231,-0.20825352576376843,0.9349014198403091,35.93979493115001,0.13436420767812893,16.37939296187256,0.00818969648093628,491,6,6,81.83333333333333,4,6,1,2,0.7182813729284915,0.4570260643028238,0.7306997742663658,0.1,0.42992190940053815,43.0,74.0,72.0,36.0,12.0,28.0,0.540548780487805,41.0,False
CW15_ABS15_ZW504_UZ1P5,15,0.15,504,1.5,0.1969599093590373,1.4663565597394885,1.9619171979511494,-0.2082535257637682,0.9457698669767455,37.33590132249127,0.13431924728732347,16.398533724388514,0.008199266862194257,366,6,6,61.0,5,6,1,2,0.7178671371111032,0.4553870744149927,0.7306997742663658,0.1,0.43014895656846514,30.0,71.0,71.0,19.0,24.0,28.0,0.46585365853658534,34.0,False
CW20_ABS05_ZW126_UZ0P5,20,0.05,126,0.5,0.18758005078932416,1.4227946407901173,1.9136301359618948,-0.16905122540885398,1.10960479781,31.866285102374523,0.13183916034794435,15.196284811041439,0.007598142405520719,599,16,16,37.4375,12,9,6,9,0.7270909372076386,0.5035580457175183,0.747874720357942,0.09999999999999999,0.42244124177112546,63.0,41.0,29.0,64.0,67.0,65.0,0.6935975609756098,67.0,False
CW20_ABS05_ZW126_UZ1P0,20,0.05,126,1.0,0.19607800002117726,1.482298475579194,1.998444467086047,-0.16905122540885364,1.1598732842483621,36.78590180432405,0.1322797015928669,15.223118465541583,0.007611559232770791,553,16,16,34.5625,12,8,6,8,0.7253241308931212,0.49978630677617636,0.7476730987514189,0.1,0.4236953955523099,19.0,20.0,14.0,27.0,67.0,59.0,0.38932926829268294,25.0,False
CW20_ABS05_ZW126_UZ1P5,20,0.05,126,1.5,0.20419211068517829,1.5360869440211664,2.0802968501813437,-0.16905122540885364,1.207871224780156,42.15053362808034,0.13293004766425814,15.856438230767228,0.007928219115383614,492,17,17,28.941176470588236,13,5,6,9,0.7225855200957115,0.4922798147105011,0.7440046565774157,0.09999999999999999,0.4266928990117337,3.0,3.0,14.0,4.0,73.0,11.0,0.23201219512195123,11.0,False
CW20_ABS05_ZW252_UZ0P5,20,0.05,252,0.5,0.1823323888360855,1.3858476834473685,1.8636173609542888,-0.16905122540885353,1.078562952709223,29.147801792844458,0.13156740889628227,15.106272425204818,0.007553136212602409,988,15,15,65.86666666666666,10,10,6,8,0.7337739769552463,0.5097097889921648,0.7464687819856705,0.09999999999999999,0.4220263142920993,78.0,54.0,10.0,79.0,64.0,81.0,0.7304878048780488,70.0,False
CW20_ABS05_ZW252_UZ1P0,20,0.05,252,1.0,0.1889067139187124,1.4343291563704135,1.932320385085184,-0.1690512254088542,1.11745249679106,32.59076672723748,0.13170387918261595,15.171091102301945,0.007585545551150972,846,16,16,52.875,12,9,6,9,0.7313579544013034,0.5017838755770013,0.7414376321353067,0.1,0.42329261089403325,56.0,36.0,33.0,60.0,67.0,65.0,0.6765243902439024,64.0,False
