strategy_id,episode_id,entry_date,unlock_date,duration_days,macro_regime_at_entry,dominant_regime,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,entry_SPY_DD,entry_CREDIT_SPREAD,entry_D_CREDIT,entry_CREDIT_LEVEL_Z,unlock_CREDIT_SPREAD,unlock_D_CREDIT,unlock_CREDIT_LEVEL_Z,unlock_SPY_vs_MA20,unlock_SPY_vs_MA50,SPY_return_during_lock,SPY_maxDD_during_lock,final_strategy_return_during_lock,next_21d_SPY_return_after_unlock,next_21d_SPY_maxDD_after_unlock,next_63d_SPY_return_after_unlock,next_63d_SPY_maxDD_after_unlock,false_recovery_flag,missed_rebound_flag,relock_within_21d,relock_within_63d
CW15_ABS15_ZW504_UZ1P5,2,2018-11-26,2019-01-07,27,FLAT,FLAT_LOW_RATE,15,0.15,504,1.5,-0.0847094212830459,1.0500000000000007,0.08000000000000007,2.9255425544450486,1.1600000000000001,0.009999999999999787,3.004651508394042,0.008441620375136516,-0.03178171811339481,-0.0356546300692524,-0.15607447747426728,0.04766531956614961,0.07217555214345217,-0.013510623931932364,0.14027058048815233,-0.021253639218935416,False,True,False,False
CW15_ABS15_ZW504_UZ1P5,3,2020-03-09,2020-04-06,20,FLAT,FLAT_LOW_RATE,15,0.15,504,1.5,-0.1894840808657809,1.0100000000000002,0.17000000000000037,0.6409816466046768,1.9500000000000002,0.7199999999999998,5.968786376947496,0.05351803575051828,-0.09384975641231097,-0.16072931698269155,-0.2224498819833104,-0.03110129521015348,0.07320837775216593,-0.047446260657181494,0.18991480984979447,-0.0698950637250666,True,True,True,True
CW15_ABS15_ZW504_UZ1P5,4,2020-04-08,2020-05-26,32,FLAT,FLAT_LOW_RATE,15,0.15,504,1.5,-0.1853124632037285,1.9599999999999995,0.8899999999999992,5.605109194484581,1.3399999999999999,-0.18999999999999995,1.454378075156755,0.03279540791651381,0.09561051081906857,0.11432099493543002,-0.047446260657181494,0.04594984450292028,0.02122535978436213,-0.0698950637250666,0.15162886862055713,-0.0698950637250666,True,True,False,False
CW15_ABS15_ZW504_UZ1P5,5,2022-02-25,2022-04-05,27,FLAT,FLAT_LOW_RATE,15,0.15,504,1.5,-0.0836489981929631,0.7999999999999998,0.17999999999999972,-0.32866511152329914,0.8699999999999997,-0.010000000000000231,-0.009586519969534026,0.01840440485027317,0.025650811901502202,0.06985529461607132,-0.04941900840318225,0.018234141010886606,-0.08252215485233005,-0.08193515366897086,-0.13382641258388783,-0.18298913507467585,True,True,False,True
CW15_ABS15_ZW504_UZ1P5,6,2022-07-07,2022-08-08,22,FLAT,INVERTED,15,0.15,504,1.5,-0.1796614088061285,1.1399999999999997,0.15999999999999925,1.8926146015741192,1.06,-0.10999999999999988,1.418627613975081,0.037006755527130286,0.05067206703003846,0.07885198738897747,-0.02848401401816969,0.044254757276738665,-0.03682903116248748,-0.09062131183276678,-0.08497544223264009,-0.16680303676492425,True,True,False,False
CW20_ABS05_ZW126_UZ0P5,1,2006-05-30,2006-06-02,3,FLAT,FLAT_HIGH_RATE,20,0.05,126,0.5,-0.0988435103637742,0.8300000000000001,0.0600000000000005,,0.8399999999999999,0.08000000000000007,,0.0022802009864002493,-0.004910827933138351,0.0027264700518632168,0.0,-0.00201280017894534,-0.004923335207275503,-0.0359501568128171,0.017189530906793316,-0.0359501568128171,True,False,True,True
CW20_ABS05_ZW126_UZ0P5,2,2006-06-06,2006-07-28,37,FLAT,INVERTED,20,0.05,126,0.5,-0.0937695557516952,0.8399999999999999,0.08000000000000007,,0.8799999999999999,-0.04999999999999982,0.36934333838140915,0.01563378909927171,0.018688394348834958,0.0011801556023582904,-0.03489811251182684,0.011582222815429866,0.019143812072612176,-0.011212730204729127,0.08915743286166977,-0.013367022774509518,False,False,False,False
CW20_ABS05_ZW126_UZ0P5,3,2007-11-08,2008-05-02,120,FLAT,STEEP_HIGH_RATE,20,0.05,126,0.5,-0.0595607205700382,0.8900000000000006,0.120000000000001,0.2469624386449688,1.2800000000000002,-0.16999999999999993,0.24918867932949385,0.029429451149006303,0.04947039075235149,-0.036093988234729646,-0.1538705952337298,0.046922312353128826,-0.024167969552036594,-0.03781899682944745,-0.10401363820663012,-0.1499815171238229,True,True,False,False
CW20_ABS05_ZW126_UZ0P5,4,2018-03-20,2018-08-08,98,FLAT,FLAT_LOW_RATE,20,0.05,126,0.5,-0.0507525410358691,0.8099999999999996,0.1499999999999999,3.4159162422078926,0.8599999999999999,-0.08000000000000007,0.42662094428651737,0.013365389048072496,0.029304440426089817,0.060528336883597156,-0.04975111981267488,-0.07705520120107479,0.007496700035649839,-0.013311397919115509,-0.03185928903833579,-0.09716441761529881,True,True,False,True
CW20_ABS05_ZW126_UZ0P5,5,2018-11-02,2018-11-07,3,FLAT,FLAT_HIGH_RATE,20,0.05,126,0.5,-0.0696884664136561,0.9700000000000006,0.0600000000000005,2.3967610339956256,0.9499999999999993,0.02999999999999936,1.6942669681890379,0.02886004746176818,-0.005781342699414549,0.005886344290639611,0.0,-0.0054341680143317195,-0.06028230654825373,-0.061497243338097474,-0.03134988319183252,-0.15968457921403867,True,False,True,True
