oil_nonrisk_rate_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
STEEP_HIGH_RATE__OIL_MID,DBA,146,0.17489401311063069,0.20944654728071294,0.17316657102080013,0.8267816933201186,-0.10775039329844405,0.09787980635036808
STEEP_HIGH_RATE__OIL_MID,CASH,146,0.0014732357359066306,2.035790158151467e-05,0.0,0.0,0.0,0.0008532770560039094
STEEP_LOW_RATE__OIL_HIGH,SPY,250,0.16199917310198164,0.13636229568366132,0.1613336413518407,1.1831250019881514,-0.09727646959554093,0.16061535633260426
STEEP_LOW_RATE__OIL_HIGH,GOLD,250,0.013900857904515673,0.12870228382545815,0.013320180080150124,0.10349606614762578,-0.09761143665716232,0.01378977644841406
STEEP_LOW_RATE__OIL_HIGH,IEF,250,-0.05162060438191618,0.056279258310574426,-0.052164135395018296,-0.9268802923299554,-0.06481023808106712,-0.051221594080382626
STEEP_LOW_RATE__OIL_HIGH,DBC,250,0.38140964752955875,0.1930001686959908,0.38061958884134417,1.9721204981996,-0.11584256129214288,0.37787180760804895
STEEP_LOW_RATE__OIL_HIGH,DBB,250,0.3223351248380202,0.20840163058559152,0.3215788622996667,1.5430726784433328,-0.13885410017157096,0.3194061561145227
STEEP_LOW_RATE__OIL_HIGH,DBA,250,0.24211207171994498,0.1472320722641986,0.2414015213795675,1.6395987482020074,-0.0858767789788083,0.2399765579055435
STEEP_LOW_RATE__OIL_HIGH,CASH,250,0.0005730640062704406,3.290058124833192e-05,0.0,0.0,0.0,0.0005685145866440866
STEEP_LOW_RATE__OIL_LOW,SPY,110,0.10055683433058471,0.10351515584425308,0.09939717145352445,0.9602185365307813,-0.0353317584708247,0.042711529402331916
STEEP_LOW_RATE__OIL_LOW,GOLD,110,0.02586082855339633,0.15027943948895223,0.024779166687036724,0.1648872711483487,-0.06831196007617868,0.011207297614035827
STEEP_LOW_RATE__OIL_LOW,IEF,110,-0.006180194286624863,0.06229831034970264,-0.007228080987517704,-0.11602370829873086,-0.043199580684313954,-0.0027024164091093983
STEEP_LOW_RATE__OIL_LOW,DBC,110,0.21725810870090512,0.17294130319865356,0.2159769290244462,1.2488452731060935,-0.07484856408732021,0.08960783094195501
STEEP_LOW_RATE__OIL_LOW,DBB,110,0.15051265267285907,0.1732253258092931,0.14929984814462993,0.8618823341628282,-0.13996845248862844,0.06311336756492514
STEEP_LOW_RATE__OIL_LOW,DBA,110,-0.012181020631048978,0.11848383371055206,-0.013221988743627455,-0.1115931881131385,-0.05374943048798542,-0.005335477022595514
STEEP_LOW_RATE__OIL_LOW,CASH,110,0.0010557010298746228,7.280097940479485e-05,0.0,0.0,0.0,0.0004606848868180524
STEEP_LOW_RATE__OIL_MID,SPY,369,0.20087574306673361,0.13003652237746646,0.19942966227143466,1.5336434612772532,-0.08981093146631935,0.3073982273425293
STEEP_LOW_RATE__OIL_MID,GOLD,369,-0.1722460112778783,0.176902527759687,-0.1732444112456245,-0.9793212874887132,-0.29664590487316567,-0.24179958058490525
STEEP_LOW_RATE__OIL_MID,IEF,369,-0.014925742917168305,0.05643834414037191,-0.01611317060253825,-0.2855004137340035,-0.05215530032142068,-0.021779621722935794
STEEP_LOW_RATE__OIL_MID,DBC,369,-0.0349921751780361,0.1461160477478875,-0.036155381605768366,-0.24744292063081133,-0.15731175093277538,-0.05081968577558971
STEEP_LOW_RATE__OIL_MID,DBB,369,-0.07197975013408797,0.17922061967599529,-0.07309788375641246,-0.40786536665570494,-0.24121962114049078,-0.10361446093534354
STEEP_LOW_RATE__OIL_MID,DBA,369,-0.044132084487626955,0.1157966677427789,-0.045284257529050076,-0.3910670178319877,-0.17774714322078633,-0.06395462415027131
STEEP_LOW_RATE__OIL_MID,CASH,369,0.0012066282906457726,5.760713190123183e-05,0.0,0.0,0.0,0.0017673433740545974
STEEP_MID_RATE__OIL_HIGH,SPY,91,0.13417306602907808,0.1091073207147333,0.13009607616177354,1.1923679851136335,-0.042522846573835316,0.04651465270572763
STEEP_MID_RATE__OIL_HIGH,GOLD,91,0.25354452707713393,0.11040612889436657,0.24904118942516718,2.255682650221734,-0.04661649410127333,0.08502403755747157
STEEP_MID_RATE__OIL_HIGH,IEF,91,0.017461593399256348,0.0634030246751413,0.013802943719617433,0.21770165998136068,-0.03047737536087669,0.00627073453940552
STEEP_MID_RATE__OIL_HIGH,DBC,91,-0.1781423928276069,0.1339214619247723,-0.1811022952267617,-1.3523022570384744,-0.09489122755773516,-0.06839438362064099
