strategy,window,cumulative_return,max_drawdown,Sharpe,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_stress_cash_weight,steep_stress_ief_weight
VC_ANCHOR_ALLOC_STEEP_CASH30_IEF70,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7
VC_ANCHOR_ALLOC_STEEP_CASH30_IEF70,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.3,0.7
VC_ANCHOR_ALLOC_STEEP_CASH30_IEF70,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.3,0.7
VC_ANCHOR_ALLOC_STEEP_CASH30_IEF70,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.3,0.7
VC_ANCHOR_ALLOC_STEEP_CASH30_IEF70,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.3,0.7
VC_ANCHOR_ALLOC_STEEP_CASH30_IEF70,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.3,0.7
VC_ANCHOR_ALLOC_STEEP_CASH40_IEF60,2008_GFC,0.3536342830908681,-0.05275605072743528,1.8295040853096087,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.5265306122448979,0.2829931972789116,357.0,0.4,0.6
VC_ANCHOR_ALLOC_STEEP_CASH40_IEF60,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6
VC_ANCHOR_ALLOC_STEEP_CASH40_IEF60,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.4,0.6
VC_ANCHOR_ALLOC_STEEP_CASH40_IEF60,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.4,0.6
VC_ANCHOR_ALLOC_STEEP_CASH40_IEF60,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.4,0.6
VC_ANCHOR_ALLOC_STEEP_CASH40_IEF60,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.4,0.6
VC_ANCHOR_ALLOC_STEEP_CASH40_IEF60,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.4,0.6
VC_ANCHOR_ALLOC_STEEP_CASH50_IEF50,2008_GFC,0.34111992138945024,-0.052756050727435055,1.8414145498210395,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.4557823129251701,0.35374149659863946,357.0,0.5,0.5
VC_ANCHOR_ALLOC_STEEP_CASH50_IEF50,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
VC_ANCHOR_ALLOC_STEEP_CASH50_IEF50,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.5,0.5
VC_ANCHOR_ALLOC_STEEP_CASH50_IEF50,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.5,0.5
VC_ANCHOR_ALLOC_STEEP_CASH50_IEF50,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.5,0.5
VC_ANCHOR_ALLOC_STEEP_CASH50_IEF50,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.5,0.5
VC_ANCHOR_ALLOC_STEEP_CASH50_IEF50,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.5,0.5
VC_ANCHOR_ALLOC_STEEP_CASH60_IEF40,2008_GFC,0.3285461373289691,-0.05275605072743539,1.8417884883111033,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.3850340136054422,0.42448979591836733,357.0,0.6,0.4
VC_ANCHOR_ALLOC_STEEP_CASH60_IEF40,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4
VC_ANCHOR_ALLOC_STEEP_CASH60_IEF40,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.6,0.4
VC_ANCHOR_ALLOC_STEEP_CASH60_IEF40,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.6,0.4
VC_ANCHOR_ALLOC_STEEP_CASH60_IEF40,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.6,0.4
VC_ANCHOR_ALLOC_STEEP_CASH60_IEF40,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.6,0.4
VC_ANCHOR_ALLOC_STEEP_CASH60_IEF40,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.6,0.4
VC_ANCHOR_ALLOC_STEEP_CASH70_IEF30,2008_GFC,0.3159166462336789,-0.052756050727435055,1.8279754386355285,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.3142857142857143,0.4952380952380952,357.0,0.7,0.30000000000000004
VC_ANCHOR_ALLOC_STEEP_CASH70_IEF30,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.30000000000000004
VC_ANCHOR_ALLOC_STEEP_CASH70_IEF30,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.7,0.30000000000000004
VC_ANCHOR_ALLOC_STEEP_CASH70_IEF30,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.7,0.30000000000000004
VC_ANCHOR_ALLOC_STEEP_CASH70_IEF30,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.7,0.30000000000000004
VC_ANCHOR_ALLOC_STEEP_CASH70_IEF30,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.7,0.30000000000000004
VC_ANCHOR_ALLOC_STEEP_CASH70_IEF30,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.7,0.30000000000000004
VC_ANCHOR_ALLOC_STEEP_CASH80_IEF20,2008_GFC,0.30323515209356433,-0.052756050727434944,1.7977506294457586,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.2435374149659864,0.5659863945578232,357.0,0.8,0.19999999999999996
VC_ANCHOR_ALLOC_STEEP_CASH80_IEF20,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.19999999999999996
VC_ANCHOR_ALLOC_STEEP_CASH80_IEF20,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.8,0.19999999999999996
VC_ANCHOR_ALLOC_STEEP_CASH80_IEF20,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.8,0.19999999999999996
VC_ANCHOR_ALLOC_STEEP_CASH80_IEF20,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.8,0.19999999999999996
VC_ANCHOR_ALLOC_STEEP_CASH80_IEF20,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.8,0.19999999999999996
VC_ANCHOR_ALLOC_STEEP_CASH80_IEF20,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.8,0.19999999999999996
VC_ANCHOR_ALLOC_STEEP_CASH90_IEF10,2008_GFC,0.2905053458313327,-0.05275605072743472,1.7497769957676135,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.17278911564625848,0.6367346938775512,357.0,0.9,0.09999999999999998
VC_ANCHOR_ALLOC_STEEP_CASH90_IEF10,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.09999999999999998
VC_ANCHOR_ALLOC_STEEP_CASH90_IEF10,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.9,0.09999999999999998
VC_ANCHOR_ALLOC_STEEP_CASH90_IEF10,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.9,0.09999999999999998
VC_ANCHOR_ALLOC_STEEP_CASH90_IEF10,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.9,0.09999999999999998
VC_ANCHOR_ALLOC_STEEP_CASH90_IEF10,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.9,0.09999999999999998
VC_ANCHOR_ALLOC_STEEP_CASH90_IEF10,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.9,0.09999999999999998
